seed,population_size,D1,D2,D3,D4,D5,SVC
1000,50,0.45009203820540356,0.4404639000876629,0.43357028099321937,0.44384368898423254,0.4553331885552835,0.43657539651810523
1001,50,0.4714291605719388,0.4352138453166837,0.44933225324522835,0.46346641485894147,0.44410319742787835,0.4708682445022267
1002,50,0.45718836107637556,0.4597410103875292,0.4427183859973652,0.46323114705336665,0.45959864902260456,0.4265578710045193
1003,50,0.450478569574619,0.4498550118211061,0.4510277401767936,0.4537800000760049,0.44961767980730366,0.4611377929104797
1004,50,0.43716312397951507,0.4225767463955059,0.4463835071851475,0.4749257361166544,0.45619260730079203,0.4416961453335467
1005,50,0.4455138302436754,0.4301283228412386,0.44398092715036647,0.4503180762381206,0.44650815666891736,0.46158199605697703
1006,50,0.4459440421519785,0.46142884573607384,0.44396555581251623,0.4349172071962863,0.445372518834416,0.45213218211234185
1007,50,0.43642531903559906,0.45733336285766535,0.45410577896522064,0.4388897697230137,0.4636973447886916,0.4607348744357548
1008,50,0.4599762117397113,0.453752983939009,0.4411840681089184,0.45091216176101107,0.45549530952257006,0.45575250893143726
1009,50,0.4600118790616058,0.4463668430779192,0.45299120418429234,0.4379922166458455,0.46681236496527445,0.447270884077626
1010,50,0.44914811255397064,0.44967760727176126,0.46604572609472006,0.44790798957961103,0.4445746784083666,0.44634148245914784
1011,50,0.4542551311831019,0.46330383325672386,0.43891256685480307,0.45183936959276766,0.4449640498015588,0.4719582892987203
1012,50,0.451243554691635,0.45966745631911465,0.45078638111167785,0.46568715805162236,0.45012154507536356,0.4518610265616936
1013,50,0.4523836256879147,0.44791531682145036,0.4498847630203505,0.44071667720951957,0.4491696080348633,0.450086105530242
1014,50,0.4452345991258673,0.44274033962457066,0.44994458331479026,0.46224696683890576,0.4470669321240859,0.45424317156473526
1015,50,0.4475625272131821,0.4499629990391578,0.4634886920811535,0.45360568891813036,0.4477366102129814,0.43244619833916986
1016,50,0.45212658153096735,0.46046115531408655,0.44979840274145844,0.43414182680948715,0.42295285013475187,0.44943267634759765
1017,50,0.45778196156140294,0.44287820657162924,0.4543379252440005,0.4404907881373804,0.46026972108952807,0.45970459115417417
1018,50,0.4556533369492308,0.4624625685386252,0.4349353395204286,0.4481152508416058,0.44167925599239366,0.4554434073419742
1019,50,0.45106606660245613,0.45248888088708045,0.46866819332351706,0.4314982852703331,0.45175749344869176,0.45285317332585057
1020,50,0.4425597125132208,0.4525212169941939,0.4300008728187723,0.4599181160266038,0.4432616597238077,0.4374014099568599
1021,50,0.45038829264046626,0.45747594424067195,0.4475904283645958,0.47504841733331565,0.4537868565571763,0.44848404004092385
1022,50,0.4545964042936844,0.4606737142808781,0.44925343316241223,0.43777383350874144,0.4500432517105022,0.4496343152204612
1023,50,0.4458587146588993,0.45790440464269416,0.4503344350306096,0.45685943957493996,0.45044677431954483,0.4460185457268804
1024,50,0.4357361977955748,0.43813574285368156,0.4425963998072935,0.4381718982888076,0.472862579983574,0.4494601019516287
1025,50,0.4743160557112607,0.45172664241733446,0.44616771977006026,0.4515345873144465,0.4362472023653266,0.44553861229973385
1026,50,0.4374526685681711,0.45618543637663633,0.44988313508183614,0.44071480350467435,0.4587729437762718,0.44957914279719796
1027,50,0.4491681565441376,0.45422238401103904,0.4379716108374302,0.4511161617388664,0.4532257091824591,0.44844921665375154
1028,50,0.44693963428555245,0.45219892370146125,0.4414697119637127,0.4729977281291082,0.4568587805226854,0.4523856906656919
1029,50,0.45225874941678884,0.45076894885335506,0.4603702302315339,0.45566947814678227,0.4447570154905889,0.45647162863223706
