dimension,submetric,orientation,alpha,beta,theoretical_raw_mean,empirical_raw_mean,standard_deviation_across_seeds,ci_lower,ci_upper,absolute_mean_error,maximum_allowed_error,mean_error_acceptable,seed_count
D1,completeness_ratio,positive,9.0,11.0,0.45,0.44703133152946245,0.014120071471715727,0.4417588101904608,0.4523038528684641,0.002968668470537561,0.02,True,30
D1,duplicate_rate,inverse,11.0,9.0,0.55,0.5437158092675166,0.018237300364602273,0.5369058893934734,0.5505257291415598,0.00628419073248343,0.02,True,30
D1,schema_pass_rate,positive,9.0,11.0,0.45,0.4486123517497713,0.01398991346554039,0.44338843220902374,0.4538362712905189,0.0013876482502286902,0.02,True,30
D2,encryption_coverage,positive,9.0,11.0,0.45,0.4504969549702291,0.014948217584620128,0.44491519879053665,0.4560787111499216,0.0004969549702291132,0.02,True,30
D2,normalized_breach_latency,inverse,11.0,9.0,0.55,0.5461638211663646,0.014874592394931028,0.540609557084322,0.5517180852484073,0.0038361788336354063,0.02,True,30
D2,policy_violation_rate,inverse,11.0,9.0,0.55,0.5534680990559175,0.0147783074357477,0.5479497883685115,0.5589864097433236,0.003468099055917495,0.02,True,30
D3,catalog_coverage,positive,9.0,11.0,0.45,0.4500500549328762,0.014535465759346137,0.4446224228176991,0.4554776870480533,5.0054932876186786e-05,0.02,True,30
D3,catalog_freshness,positive,9.0,11.0,0.45,0.45236442637757984,0.013669154599731762,0.4472602801657448,0.45746857258941487,0.0023644263775798313,0.02,True,30
D3,lineage_rate,positive,9.0,11.0,0.45,0.44513754663552374,0.015451719958367562,0.43936777957960166,0.4509073136914458,0.004862453364476271,0.02,True,30
D4,consent_propagation_rate,positive,9.0,11.0,0.45,0.44973567195524977,0.014522792243575534,0.44431277220863574,0.4551585717018638,0.0002643280447502394,0.02,True,30
D4,rule_pass_rate,positive,9.0,11.0,0.45,0.4517501566670072,0.01782705151922996,0.4450934262294239,0.4584068871045905,0.0017501566670071744,0.02,True,30
D5,api_adherence_rate,positive,9.0,11.0,0.45,0.4520382795032057,0.01849338676944718,0.44513273539405307,0.4589438236123583,0.0020382795032056755,0.02,True,30
D5,format_translation_rate,positive,9.0,11.0,0.45,0.4480514013654588,0.01407810464936979,0.44279455069546136,0.4533082520354562,0.001948598634541221,0.02,True,30
D5,schema_reconciliation_rate,positive,9.0,11.0,0.45,0.4513749241519711,0.0137358188274582,0.4462458851084008,0.45650396319554143,0.001374924151971102,0.02,True,30
SVC,audit_trail_completeness,positive,9.0,11.0,0.45,0.44981351057558333,0.014319097874496128,0.4444666715564066,0.45516034959476004,0.00018648942441668037,0.02,True,30
SVC,cross_border_flagging_rate,positive,9.0,11.0,0.45,0.4522444136892695,0.013337566125500433,0.4472640846485907,0.4572247427299483,0.0022444136892694755,0.02,True,30
SVC,localization_compliance_rate,positive,9.0,11.0,0.45,0.4502013290063174,0.014870791883274743,0.44464848405865004,0.4557541739539847,0.0002013290063173634,0.02,True,30
